ean;Modelo:categorical;Preço (€):numeric;Categoria:categorical;Marca:categorical;"Diagonal do Ecrã (""):numeric"
8806086616200;TV LED Smart TV 3D 48'' SAMSUNG UE48JU7500T;1399;Ultra HD/ 4K;Samsung;48
8806086719301;TV LED Smart TV 60'' SAMSUNG UE60JU6400KXXC;1999;Ultra HD/ 4K;Samsung;60
5025232813102;TV LED PANASONIC Smart TV UHD 3D 48'' TX-48CX400;649,99;Ultra HD/ 4K;Panasonic;48
5025232812103;TV LED Smart TV 55'' PANASONIC TX-55CX680;1129;Ultra HD/ 4K;Panasonic;55
8806087139004;TV LED Smart TV 43'' LG 43UF770V;599,99;Ultra HD/ 4K;LG;43
8806087347205;TV LED UHD Smart TV 49'' LG 49UF680V;649,99;Ultra HD/ 4K;LG;49
4548736002206;"TV LED Smart TV 3D 4K 55"" SONY KD55X8508C";1299;Ultra HD/ 4K;Sony;55
4548736023207;LED UHD 4K Android TV 65'' SONY KD-65XD9305;3999;Ultra HD/ 4K;Sony;65
8718863002309;"TV LED Smart TV 4K 50"" PHILIPS 50PUH6400/88";849,99;Ultra HD/ 4K;Philips;50
8718863003210;TV LED Smart TV 3D PHILIPS 49PUS7100;1199;Ultra HD/ 4K;Philips;124
4905524986411;TV Smart TV 3D Curvo 65'' SONY KD-65S9;2797;TV Curvo;Sony;65
8806086616212;TV LED Smart TV 3D 48'' SAMSUNG UE48JU7500T;1799;TV Curvo;Samsung;48
8806086825513;TV LED Smart TV 3D Curvo 65'' SAMSUNG UE65JS9500T;6499;TV Curvo;Samsung;65
8806086616314;TV LED Smart TV 3D Curvo 78'' SAMSUNG UE78JU7500T;6999;TV Curvo;Samsung;78
8806086825515;TV LED Smart TV 3D Curvo 78'' SAMSUNG UE78JS9500T;11499;TV Curvo;Samsung;78
8806087495716;TV OLED Smart TV 3D 55'' LG 55EG910V;1999;OLED;LG;55
8806087144817;TV OLED Curvo UHD 4K Smart TV 55'' LG 55EG920V;3499;OLED;LG;55
8806087217718;TV OLED Curvo UHD 4K Smart TV 65'' LG 65EG960V;5999;OLED;LG;65
4548736023619;LED HD Smart TV 32'' SONY KDL-32WD600;399,99;Smart TV 3D;Sony;80
4548736023620;TV LED FHD Smart TV 40'' SONY KDL-40WD650;549,99;Smart TV 3D;Sony;102
